ID_Ocorrencia,ID_Colaborador,Data_Ausencia,Tipo_Ausencia,Horas_Perdidas
9326dffd-5be4-4f51-9269-869861a11729,1,2024-05-31,Atestado Médico,8.0
4b943e30-b303-4438-be21-10d04bbe4aff,1,2025-12-21,Atestado Médico,8.0
a881bfd3-d47d-477b-ba5a-91ca059dd55d,1,2025-11-27,Atestado Médico,8.0
90e0b95f-0212-4554-8644-58b46553867d,1,2023-02-07,Atestado Médico,8.0
bea29dfe-c73f-4e1b-af90-8e3cdd750e98,1,2025-01-10,Atestado Médico,8.0
9b3d74bd-e91e-414e-8c8e-29e3f93e08d5,1,2022-06-16,Atestado Médico,8.0
e776b886-d534-4e1d-bf29-84f5bec39a37,1,2022-12-16,Atestado Médico,8.0
cc8218da-c696-45e6-8944-051be726be23,1,2025-01-24,Atestado Médico,8.0
5a31b4cc-cd4b-49a9-9b68-9c883ae909fe,1,2025-07-23,Atestado Médico,8.0
9ef2b93e-30ac-4d7b-a2f9-63a33810ae66,1,2024-02-10,Falta Injustificada,8.0
b88ec318-c16d-43ed-ad81-f8bd402913ec,1,2022-10-24,Atestado Médico,8.0
d69d42f1-ae4c-44ff-a8c0-1f05c478f6f1,1,2024-09-19,Falta Injustificada,8.0
e7457704-18df-4c3c-a0d4-de3d2303f6c6,2,2026-04-23,Falta Injustificada,8.0
4f1639a0-0a17-491e-a576-9411a0a11839,2,2023-11-01,Atestado Médico,8.0
945ef2e4-088a-43ec-b0d9-c9f8c9e26074,2,2024-07-22,Atraso,3.9
1712fb16-21a4-444f-bb7b-ee035d678bb1,3,2023-01-06,Atraso,1.5
bf5ae7e6-53a3-4d5a-8b8c-5bdce8dd5e5a,3,2026-07-13,Atestado Médico,8.0
21d53971-3367-49b5-acf6-bf756a5e6920,3,2023-08-20,Atestado Médico,8.0
f8b38a8b-e05f-48bc-8a16-a06cc958e75e,3,2024-01-18,Licença Paternidade/Maternidade,8.0
e9da484a-8075-4f1f-87e5-f0fe5da8d6d2,3,2025-08-23,Falta Injustificada,8.0
41c8ca8c-2a1f-455a-9499-da9945c45a3e,3,2026-01-12,Atestado Médico,8.0
7b5a611a-f1b6-4afe-931e-df1ae9ff1cae,3,2024-05-18,Atestado Médico,8.0
